area,min,max,mean,median
柳城,300,2000,1231.82,1000
融水,550,7999,2233.06,1200
柳江,350,9500,2027.6,1000
三江,200,4000,1552.87,1100
鱼峰区,250,1800,922.73,1800
柳北区,300,3800,1052.55,1700
城中区,300,2500,1195.45,2100
鹿寨,300,6000,2470.0,1100
融安,330,4000,1821.07,1200
柳南区,300,8888,1438.78,1500
